,industry_x,pe,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,labels_result,index,code,name,industry_y
0,0,21.77,2.08,1.2790000000000001,15.36,3.62,20200930,2.8,3.82,0.0,0.0,31.24,16.34,36725.0,7,003011,003011,N海象,家居用品
1,1,24.68,0.16,0.45,4.04,5.51,20200930,5.64,1.41,0.0,0.0,35.96,22.42,44994.0,1,605099,605099,N共创,文教休闲
2,2,22.37,2.56,0.39,5.17,3.27,20190123,20.48,1.46,107.24,58.95,21.74,6.38,42794.0,1,601615,601615,明阳智能,机械基件
3,3,23.15,0.99,0.16,3.28,2.26,20101019,8.67,1.21,24.55,115.41,24.1,10.08,41243.0,1,300129,300129,泰胜风能,电气设备
4,4,22.15,5.8,0.38299999999999995,9.53,1.78,20100902,25.11,2.79,26.25,-28.81,19.69,4.52,52422.0,7,300118,300118,东方日升,半导体
5,5,11.51,2.23,0.201,4.52,1.02,19960208,37.69,1.25,15.27,60.24,57.03,25.69,62291.0,3,000591,000591,太阳能,新型电力
6,6,21.13,2.62,0.16899999999999998,4.88,1.46,20080506,14.11,1.13,8.62,6.38,40.55,13.09,50652.0,1,002226,002226,江南化工,化工原料
7,3,21.11,5.46,0.514,9.07,2.39,20170602,6.24,2.41,-12.18,12.4,28.81,12.54,17744.0,7,300660,300660,江苏雷利,电气设备
8,7,18.39,4.58,4.3660000000000005,10.85,14.8,20200205,6.14,5.11,388.05,1477.45,82.77,63.27,8174.0,10,688298,688298,东方生物,医疗保健
9,3,19.2,2.35,0.289,6.08,1.83,20170728,11.05,2.57,28.19,437.45,37.87,14.0,19097.0,1,603063,603063,禾望电气,电气设备
10,8,24.45,0.6,0.131,2.89,2.22,20120601,6.74,1.12,-4.37,-22.37,25.6,7.95,22353.0,1,300320,300320,海达股份,橡胶
11,7,24.71,13.73,5.247999999999999,21.16,12.26,20191205,3.58,6.1,368.65,923.3,84.06,53.73,7558.0,10,688399,688399,硕世生物,医疗保健
